account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
mybid-pub-sv,DE,adsterra,0.2966,2.1964,2813890,-1.8998,-86.49,71.8931,-5345.7279,USD,USD,USD
nsd,LK,kadam,0.4100,0.7000,18447978,-0.2900,-41.43,285.8100,-5349.9136,USD,USD,USD
mybid-pub-sv,CH,kadam,0.3011,1.6000,4122202,-1.2989,-81.18,5.1073,-5354.4550,USD,USD,USD
mybid-pub-sv,CO,kadam,0.0907,0.3000,25602792,-0.2093,-69.76,0.7982,-5358.0080,USD,USD,USD
propush-cpc,GR,kadam,0.5057,1.4000,5992324,-0.8943,-63.88,24.3357,-5358.8855,USD,USD,USD
mybid-pub-sv,ZM,inhouseads,0.2456,2.1000,2892746,-1.8544,-88.31,1.4830,-5364.3797,USD,USD,USD
sv2,TW,clickadu,0.4200,2.8497,2208366,-2.4297,-85.26,21.8700,-5365.6006,USD,USD,USD
clickadilla-sv,EG,monetizer,0.2185,8.5636,643454,-8.3451,-97.45,31.8008,-5369.6892,USD,USD,USD
evadav-rss,JP,adsterra,0.0412,0.6950,8228003,-0.6538,-94.07,0.4840,-5379.2243,USD,USD,USD
sv,TH,adsterra,0.5600,1.9057,4007138,-1.3457,-70.61,11.6500,-5392.4377,USD,USD,USD
nsd,LK,inhouseads,0.4100,0.7350,16603180,-0.3250,-44.22,285.8100,-5396.0335,USD,USD,USD
evadav-sv,KH,kadam,0.0277,0.6000,9434056,-0.5723,-95.39,10.2480,-5399.4334,USD,USD,USD
sv,PE,kadam,0.2900,0.6000,17422371,-0.3100,-51.67,0.9600,-5400.9350,USD,USD,USD
evadav-sv,BY,kadam,0.0210,1.4000,3917499,-1.3790,-98.50,3.8750,-5402.3051,USD,USD,USD
sv,MY,clickadu,0.1700,1.5179,4010856,-1.3479,-88.80,1.6100,-5406.0483,USD,USD,USD
evadav-rss,KH,kadam,0.0264,0.6000,9434056,-0.5736,-95.59,0.0930,-5411.0399,USD,USD,USD
propush-nsd,TJ,inhouseads,1.0537,2.8350,3039265,-1.7813,-62.83,38.6448,-5413.7255,USD,USD,USD
mybid-pub-sv,EG,monetizer,0.1391,8.5636,643454,-8.4245,-98.38,28.4840,-5420.7921,USD,USD,USD
clickadilla-sv,BR,galaksion,0.0797,0.5400,11778624,-0.4603,-85.23,0.6310,-5421.2594,USD,USD,USD
