account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
sv,NG,mybid,0.3900,0.2000,343436,0.1900,95.00,52.7000,65.2528,USD,USD,USD
propush-nsd,KW,galaksion,0.5329,0.4800,1224711,0.0529,11.02,189.9039,64.7659,USD,USD,USD
clickadu-pub-nsd,TR,mybid,0.1689,0.1200,1315814,0.0489,40.71,80.4706,64.2814,USD,USD,USD
propush-nsd,DO,adsterra,1.0599,0.8541,309902,0.2058,24.10,220.8243,63.7883,USD,USD,USD
propush-nsd,GY,kadam,0.1865,0.1000,731717,0.0865,86.46,6.1302,63.2669,USD,USD,USD
propush-nsd,TJ,mybid,1.0230,0.3000,86767,0.7230,241.02,36.9679,62.7368,USD,USD,USD
clickadu-pub-nsd,IT,mybid,0.4196,0.3600,1050518,0.0596,16.57,70.1527,62.6622,USD,USD,USD
sv,LK,mybid,0.5400,0.4200,521746,0.1200,28.57,214.2100,62.6095,USD,USD,USD
propush-nsd,AL,galaksion,0.3356,0.1900,424422,0.1456,76.63,105.3733,61.7921,USD,USD,USD
propush-nsd,BJ,galaksion,1.7230,1.2800,138619,0.4430,34.61,217.2589,61.4089,USD,USD,USD
propush-nsd,IE,mybid,0.6193,0.2400,161395,0.3793,158.05,68.1571,61.2217,USD,USD,USD
sv2,TZ,mybid,0.2100,0.1100,608610,0.1000,90.91,45.5100,60.8610,USD,USD,USD
clickadu-pub-nsd,NC,kadam,0.6513,0.3000,173062,0.3513,117.11,0.1713,60.8020,USD,USD,USD
clickadu-pub-nsd,AL,mybid,0.3510,0.0500,199691,0.3010,601.97,8.3047,60.1044,USD,USD,USD
sv2,IQ,mybid,0.1900,0.0800,546260,0.1100,137.50,649.3700,60.0886,USD,USD,USD
mybid-pub-sv,VN,mybid,0.1289,0.1000,2075336,0.0289,28.88,15.9595,59.9379,USD,USD,USD
sv,DJ,galaksion,2.2200,0.9200,46026,1.3000,141.30,1.4300,59.8338,USD,USD,USD
propush-nsd,ZM,clickadu,1.1803,0.8998,212978,0.2805,31.17,449.7529,59.7387,USD,USD,USD
propush-nsd,UY,mybid,0.4015,0.0700,179989,0.3315,473.63,22.0981,59.6740,USD,USD,USD
propush-nsd,GA,inhouseads,1.1777,1.0500,464979,0.1277,12.16,30.1552,59.3804,USD,USD,USD
clickadu-pub-nsd,TZ,mybid,0.2068,0.1100,608610,0.0968,88.03,12.3186,58.9361,USD,USD,USD
sv,VE,galaksion,0.2500,0.2100,1455626,0.0400,19.05,1.6300,58.2250,USD,USD,USD
clickadilla-sv,MA,mybid,0.1757,0.1300,1266656,0.0457,35.17,3.3304,57.9107,USD,USD,USD
clickadilla-sv,ZA,mybid,0.2487,0.1100,416866,0.1387,126.08,1.4832,57.8151,USD,USD,USD
clickadu-pub-nsd,AO,galaksion,1.1058,0.8700,244835,0.2358,27.10,22.6813,57.7217,USD,USD,USD
propush-nsd,CO,mybid,0.1891,0.0800,527086,0.1091,136.44,140.4514,57.5309,USD,USD,USD
evadav-sv,BR,mybid,0.0728,0.0500,2504341,0.0228,45.60,0.4090,57.1033,USD,USD,USD
propush-nsd,AL,mybid,0.3356,0.0500,199691,0.2856,571.18,105.3733,57.0300,USD,USD,USD
propush-nsd,MN,mybid,0.5649,0.3800,307926,0.1849,48.65,84.8652,56.9280,USD,USD,USD
nsd,BO,mybid,0.5100,0.4700,1396524,0.0400,8.51,5.3500,55.8610,USD,USD,USD
clickadilla-sv,DE,mybid,0.3292,0.3100,2902494,0.0192,6.18,99.5656,55.6181,USD,USD,USD
nsd,CA,mybid,0.6000,0.5400,919389,0.0600,11.11,134.0100,55.1633,USD,USD,USD
propush-nsd,PT,mybid,0.7195,0.4000,170010,0.3195,79.89,360.3264,54.3253,USD,USD,USD
sv,VE,clickadu,0.2500,0.2153,1555710,0.0347,16.14,1.6300,54.0531,USD,USD,USD
propush-nsd,SI,clickadu,2.0498,1.3526,77243,0.6972,51.54,289.1793,53.8522,USD,USD,USD
propush-nsd,GY,inhouseads,0.1865,0.1050,658545,0.0815,77.58,6.1302,53.6475,USD,USD,USD
sv2,SE,mybid,0.3100,0.1600,357560,0.1500,93.75,21.0800,53.6340,USD,USD,USD
propush-nsd,MW,galaksion,1.3551,1.1200,225589,0.2351,20.99,372.1298,53.0263,USD,USD,USD
propush-nsd,EG,mybid,0.3566,0.3400,3177316,0.0166,4.90,2523.1920,52.8871,USD,USD,USD
clickadu-pub-nsd,VC,kadam,0.7038,0.2000,104823,0.5038,251.89,0.0373,52.8071,USD,USD,USD
sv,GA,mybid,0.5600,0.0700,107285,0.4900,700.00,0.5800,52.5697,USD,USD,USD
onclicka-sv,DJ,galaksion,2.0592,0.9200,46026,1.1392,123.83,1.7174,52.4328,USD,USD,USD
