account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
nsd,WS,0.0400,0.1200,3036,-0.0800,-66.67,0.0800,-0.2429,USD,USD,USD
sv2,WS,0.0400,0.1200,3036,-0.0800,-66.67,0.0600,-0.2429,USD,USD,USD
sv,WS,0.0400,0.1200,3036,-0.0800,-66.67,0.0300,-0.2429,USD,USD,USD
evadav-rss,WS,0.0376,0.1200,3036,-0.0824,-68.67,0.0100,-0.2502,USD,USD,USD
sv,BT,0.0700,0.1100,6285,-0.0400,-36.36,0.0500,-0.2514,USD,USD,USD
evadav-rss,CW,0.0263,0.1000,3436,-0.0737,-73.70,0.0010,-0.2532,USD,USD,USD
evadav-sv,AW,0.0351,0.1200,2986,-0.0849,-70.75,0.0020,-0.2535,USD,USD,USD
sv2,BZ,0.0700,0.1000,8746,-0.0300,-30.00,1.0100,-0.2624,USD,USD,USD
evadav-rss,LR,0.0630,0.1000,7182,-0.0370,-37.00,0.0610,-0.2657,USD,USD,USD
sv2,GM,0.1100,0.1300,13329,-0.0200,-15.38,0.8700,-0.2666,USD,USD,USD
sv2,AW,0.0300,0.1200,2986,-0.0900,-75.00,0.0500,-0.2687,USD,USD,USD
nsd,AD,0.0400,0.1200,3372,-0.0800,-66.67,0.0100,-0.2698,USD,USD,USD
sv2,AD,0.0400,0.1200,3372,-0.0800,-66.67,0.0200,-0.2698,USD,USD,USD
evadav-rss,LC,0.0370,0.1000,4295,-0.0630,-63.00,0.0010,-0.2706,USD,USD,USD
nsd,GQ,0.0300,0.1200,3032,-0.0900,-75.00,0.0400,-0.2729,USD,USD,USD
sv,GQ,0.0300,0.1200,3032,-0.0900,-75.00,0.0200,-0.2729,USD,USD,USD
evadav-sv,SS,0.0374,0.1000,4370,-0.0626,-62.60,0.0370,-0.2736,USD,USD,USD
evadav-sv,CW,0.0195,0.1000,3436,-0.0805,-80.50,0.0030,-0.2766,USD,USD,USD
sv2,NC,0.0600,0.1400,3469,-0.0800,-57.14,0.1300,-0.2775,USD,USD,USD
sv2,FJ,0.0500,0.0900,7057,-0.0400,-44.44,0.3100,-0.2823,USD,USD,USD
evadav-sv,WS,0.0258,0.1200,3036,-0.0942,-78.50,0.0250,-0.2860,USD,USD,USD
evadav-rss,PS,0.0687,0.0700,221925,-0.0013,-1.86,0.2150,-0.2885,USD,USD,USD
nsd,AS,0.0400,0.0900,5804,-0.0500,-55.56,0.0100,-0.2902,USD,USD,USD
evadav-rss,NC,0.0545,0.1400,3469,-0.0855,-61.07,0.0060,-0.2966,USD,USD,USD
evadav-rss,BB,0.0625,0.1000,7945,-0.0375,-37.50,0.0050,-0.2979,USD,USD,USD
sv,LI,0.1200,0.3700,1196,-0.2500,-67.57,0.0100,-0.2990,USD,USD,USD
nsd,LC,0.0300,0.1000,4295,-0.0700,-70.00,0.0100,-0.3007,USD,USD,USD
nsd,GU,0.0400,0.1100,4343,-0.0700,-63.64,0.0400,-0.3040,USD,USD,USD
sv2,GU,0.0400,0.1100,4343,-0.0700,-63.64,0.1200,-0.3040,USD,USD,USD
nsd,SS,0.0300,0.1000,4370,-0.0700,-70.00,0.1100,-0.3059,USD,USD,USD
sv2,SS,0.0300,0.1000,4370,-0.0700,-70.00,0.1200,-0.3059,USD,USD,USD
sv2,AG,0.0400,0.1200,3887,-0.0800,-66.67,0.0900,-0.3110,USD,USD,USD
evadav-rss,CV,0.0688,0.1200,6130,-0.0512,-42.67,0.0130,-0.3139,USD,USD,USD
evadav-sv,AS,0.0351,0.0900,5804,-0.0549,-61.00,0.0020,-0.3186,USD,USD,USD
nsd,BN,0.1100,0.1300,16099,-0.0200,-15.38,0.1800,-0.3220,USD,USD,USD
evadav-sv,SC,0.0503,0.1200,4639,-0.0697,-58.08,0.0090,-0.3233,USD,USD,USD
evadav-rss,GU,0.0337,0.1100,4343,-0.0763,-69.36,0.0030,-0.3314,USD,USD,USD
evadav-sv,MQ,0.1382,0.1700,10508,-0.0318,-18.71,0.0600,-0.3342,USD,USD,USD
evadav-sv,TD,0.0519,0.0800,11932,-0.0281,-35.12,0.1390,-0.3353,USD,USD,USD
evadav-sv,LI,0.0870,0.3700,1196,-0.2830,-76.49,0.0020,-0.3385,USD,USD,USD
evadav-sv,LC,0.0204,0.1000,4295,-0.0796,-79.60,0.0010,-0.3419,USD,USD,USD
nsd,AG,0.0300,0.1200,3887,-0.0900,-75.00,0.0100,-0.3498,USD,USD,USD
nsd,BI,0.2200,0.2700,7035,-0.0500,-18.52,0.3200,-0.3518,USD,USD,USD
evadav-rss,FJ,0.0400,0.0900,7057,-0.0500,-55.56,0.0110,-0.3529,USD,USD,USD
sv2,SR,0.0300,0.0500,18021,-0.0200,-40.00,0.3200,-0.3604,USD,USD,USD
sv,GY,0.0700,0.1000,12038,-0.0300,-30.00,0.1500,-0.3611,USD,USD,USD
sv2,PG,0.1100,0.1300,18099,-0.0200,-15.38,0.4900,-0.3620,USD,USD,USD
sv2,NA,0.0900,0.1200,12113,-0.0300,-25.00,0.6200,-0.3634,USD,USD,USD
sv2,CV,0.0600,0.1200,6130,-0.0600,-50.00,0.2500,-0.3678,USD,USD,USD
sv,CV,0.0600,0.1200,6130,-0.0600,-50.00,0.0400,-0.3678,USD,USD,USD
evadav-sv,NC,0.0331,0.1400,3469,-0.1069,-76.36,0.0090,-0.3708,USD,USD,USD
nsd,SC,0.0400,0.1200,4639,-0.0800,-66.67,0.0200,-0.3711,USD,USD,USD
evadav-sv,GM,0.1016,0.1300,13329,-0.0284,-21.85,0.4620,-0.3785,USD,USD,USD
nsd,LI,0.0500,0.3700,1196,-0.3200,-86.49,0.0000,-0.3827,USD,USD,USD
sv2,LI,0.0500,0.3700,1196,-0.3200,-86.49,0.0100,-0.3827,USD,USD,USD
sv2,NE,0.0600,0.1000,9631,-0.0400,-40.00,0.3700,-0.3852,USD,USD,USD
sv,PF,0.0500,0.1300,4822,-0.0800,-61.54,0.0300,-0.3858,USD,USD,USD
nsd,BB,0.0500,0.1000,7945,-0.0500,-50.00,0.0200,-0.3972,USD,USD,USD
evadav-rss,GY,0.0669,0.1000,12038,-0.0331,-33.10,0.0420,-0.3985,USD,USD,USD
evadav-rss,PF,0.0473,0.1300,4822,-0.0827,-63.62,0.0070,-0.3988,USD,USD,USD
evadav-sv,GU,0.0173,0.1100,4343,-0.0927,-84.27,0.0050,-0.4026,USD,USD,USD
evadav-rss,BZ,0.0529,0.1000,8746,-0.0471,-47.10,0.0180,-0.4119,USD,USD,USD
sv,IS,0.1600,0.2100,8450,-0.0500,-23.81,0.1200,-0.4225,USD,USD,USD
nsd,FJ,0.0300,0.0900,7057,-0.0600,-66.67,0.1200,-0.4234,USD,USD,USD
evadav-sv,KE,0.0492,0.0500,530464,-0.0008,-1.60,0.1730,-0.4244,USD,USD,USD
sv,GP,0.1400,0.2200,5316,-0.0800,-36.36,0.0900,-0.4253,USD,USD,USD
nsd,CV,0.0500,0.1200,6130,-0.0700,-58.33,0.1000,-0.4291,USD,USD,USD
nsd,PF,0.0400,0.1300,4822,-0.0900,-69.23,0.0700,-0.4340,USD,USD,USD
sv2,PF,0.0400,0.1300,4822,-0.0900,-69.23,0.1200,-0.4340,USD,USD,USD
sv,BZ,0.0500,0.1000,8746,-0.0500,-50.00,0.0300,-0.4373,USD,USD,USD
evadav-sv,FJ,0.0278,0.0900,7057,-0.0622,-69.11,0.0360,-0.4389,USD,USD,USD
evadav-rss,BS,0.0530,0.1000,9479,-0.0470,-47.00,0.0270,-0.4455,USD,USD,USD
evadav-sv,LR,0.0376,0.1000,7182,-0.0624,-62.40,0.1050,-0.4482,USD,USD,USD
evadav-sv,SR,0.0244,0.0500,18021,-0.0256,-51.20,0.0230,-0.4613,USD,USD,USD
sv2,SC,0.0200,0.1200,4639,-0.1000,-83.33,0.0400,-0.4639,USD,USD,USD
evadav-sv,CV,0.0430,0.1200,6130,-0.0770,-64.17,0.0120,-0.4720,USD,USD,USD
nsd,BS,0.0500,0.1000,9479,-0.0500,-50.00,0.0700,-0.4740,USD,USD,USD
sv2,GY,0.0600,0.1000,12038,-0.0400,-40.00,1.0000,-0.4815,USD,USD,USD
nsd,NE,0.0500,0.1000,9631,-0.0500,-50.00,0.2700,-0.4816,USD,USD,USD
evadav-sv,PF,0.0262,0.1300,4822,-0.1038,-79.85,0.0160,-0.5005,USD,USD,USD
sv2,LR,0.0300,0.1000,7182,-0.0700,-70.00,0.1300,-0.5027,USD,USD,USD
sv,LR,0.0300,0.1000,7182,-0.0700,-70.00,0.0700,-0.5027,USD,USD,USD
nsd,BT,0.0300,0.1100,6285,-0.0800,-72.73,0.1000,-0.5028,USD,USD,USD
sv2,BT,0.0300,0.1100,6285,-0.0800,-72.73,0.1100,-0.5028,USD,USD,USD
evadav-sv,NA,0.0777,0.1200,12113,-0.0423,-35.25,0.0320,-0.5124,USD,USD,USD
